,ID,Tweet,anger,disgust,fear,joy,love,optimism,pessimism,sadness,trust,neg,pos,label,message_processed,message_length
16,2017-En-11475,@BitchestheCat Look at those teef! #growl,1,1,1,0,0,0,0,0,0,3,0,1,look teef growl,41
18,2017-En-10618,"The bitter the battle, the sweeter the victory...",0,0,0,1,0,1,0,0,0,0,2,0,bitter battle sweeter victory,49
19,2017-En-40212,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,1,1,0,0,0,0,0,1,0,3,0,1,cant stop finish deject luckily one bathroom stall wait pant dry,122
20,2017-En-21011,@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,1,1,0,0,0,0,0,0,0,2,0,1,usa embarrass watch last time guys game horrible joke,119
21,2017-En-20349,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,0,0,1,0,0,0,0,1,0,2,0,1,newyork several baloch indian activist hold demonstration outside headquarters demand pak stop export terror india,144
22,2017-En-40483,Awareness of time is awareness of time lost. #awareness #time ,0,0,0,1,1,1,0,0,0,0,3,0,awareness time awareness time lose awareness time,62
23,2017-En-30807,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,1,1,0,0,0,0,0,0,0,2,0,1,glee fill normy dry hump recent high profile celebrity break pathetic wrong world today,143
24,2017-En-21400,@zorefx you guys will see what i did in the next video but its fucking horrid,1,1,1,0,0,0,0,1,0,4,0,1,guy see next video fuck horrid,77
25,2017-En-11184,What a fucking muppet.  @jRwild1  #stalker.,1,1,0,0,0,0,0,0,0,2,0,1,fuck muppet stalker,43
29,2017-En-10966,Autocorrect changes ''em' to 'me' which I resent greatly,1,1,0,0,0,0,0,0,0,2,0,1,autocorrect change resent greatly,56
33,2017-En-10936,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,1,1,0,0,0,0,0,1,0,3,0,1,people always get offended everyone situation different kid mean settle,133
34,2017-En-30541,You have to find a way to top yourself. #glee,0,0,0,1,1,1,0,0,0,0,3,0,find way top glee,45
35,2017-En-20393,@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,1,1,0,0,0,0,0,0,0,2,0,1,hater low self worth self righteous delusion cower thought change change inevitable,138
36,2017-En-30296,#smile every morning to a positive head start with your #clients relations,0,0,0,1,0,1,0,0,0,0,2,0,smile every morning positive head start client relation,74
37,2017-En-20473,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,0,0,0,0,0,1,0,0,0,0,1,0,save order risk life panic stay calm rescued,96
38,2017-En-10565,@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,0,0,0,0,0,0,0,0,0,0,0,0,little prick sting come tennessee get,111
43,2017-En-21374,@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of ð© #needstobeadmitted #bully,1,1,0,0,0,0,0,0,0,2,0,1,tamra would swing tamra nkelly piece needstobeadmitted bully,138
44,2017-En-21886,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",1,1,0,0,0,0,0,1,0,3,0,1,accusd india violation kashmir refusd name india role foment terror pakistan ttp bla mqm shame,144
45,2017-En-21219,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,0,0,0,1,0,1,0,0,0,0,2,0,week till pick camera though think group cemetery shoot october make photography,133
46,2017-En-30081,@morgannbroom yes â¤ï¸â¤ï¸ &amp; cheering homecoming game!,0,0,0,1,1,1,0,0,0,0,3,0,yes cheer homecoming game,62
48,2017-En-41251,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,0,0,0,0,1,1,0,0,1,0,3,0,love happiness sadness feeling dependent another person,107
49,2017-En-40646,@wabermes The @RavalliRepublic had a good one but then the reporter quit. ,0,0,0,0,0,0,0,0,0,0,0,0,good one reporter quit,74
50,2017-En-20764,@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,0,0,0,1,0,1,0,0,0,0,2,0,want start biker gang together gta online biker dlc come,119
52,2017-En-41397,"Itâs possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",0,0,0,0,0,0,0,1,0,1,0,1,possible change med best do stress difficult tell part despair circumstantial drug,139
54,2017-En-10559,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",1,1,0,0,0,0,0,0,0,2,0,1,also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway,140
55,2017-En-20648,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think theyâre fighting against.,1,1,0,0,0,0,0,0,0,2,0,1,irony protest kind stuff orwellian nightmare think fight,140
57,2017-En-20218,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,1,1,1,0,0,0,0,0,0,3,0,1,think becz much terror pak urself leader forget difference btw leader terrorist,137
58,2017-En-30952,angel delight is my everything,0,0,0,1,1,0,0,0,0,0,2,0,angel delight everything,30
59,2017-En-10474,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,1,0,0,0,0,0,0,0,0,1,0,1,puzzle invest open portland feodal population correlative straight snort infuriate xlzjyhg,105
62,2017-En-10649,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,0,0,0,1,0,0,0,0,0,0,1,0,believe gon start sing snap story tractor switch little bit,95
63,2017-En-41456,This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,0,0,0,1,0,1,0,0,0,0,2,0,first time sober birthday year recovery sobriety sober soberissexy sobernative,118
65,2017-En-10396,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,1,0,0,0,0,0,0,0,0,1,0,1,rage rage come soon keep post youtube youtubegaming rage,96
66,2017-En-40760,"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..",0,0,0,1,0,1,0,0,0,0,2,0,proud understand show love think compassion do cloud way,111
67,2017-En-30218,Why have I only just started watching glee this week I am now addicted ð #glee #GLEEK,0,0,0,1,1,0,0,0,0,0,2,0,start watch glee week addict glee gleek,88
68,2017-En-21649,@Bridget_Delia @originalaubs omg that's terrible,1,1,1,0,0,0,0,1,0,4,0,1,omg terrible,48
69,2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",0,0,0,0,1,0,0,0,0,0,1,0,cigarette burn laura hand angle chin purse lips gorgeous transition,139
72,2017-En-30985,Modern family never fails to cheer me up. Especially Phil.,0,0,0,1,1,1,0,0,0,0,3,0,modern family never fail cheer especially phil,58
73,2017-En-31561,Sometimes I get to sit back and be proud of myself for pleasing Him so well.,0,0,0,1,1,1,0,0,0,0,3,0,sometimes get sit back proud pleasing well,76
74,2017-En-10827,Follow me on Snapchat ð» Carlabtst15 #snapchat ,0,0,0,1,0,1,0,0,0,0,2,0,follow snapchat carlabtst snapchat,49
75,2017-En-10252,@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell ðð ;),1,1,0,0,0,0,0,0,0,2,0,1,shit even begin describe fiery little demon straight hell,109
76,2017-En-40175,It's way too hard not to get discouraged.,1,0,0,0,0,0,1,1,0,3,0,1,way hard get discourage,41
77,2017-En-31116,@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,0,0,0,1,1,0,0,0,0,0,2,0,ditto amaze atmosphere philippplein cheerleader stunt londonevents cheer,113
78,2017-En-21998,"Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri",0,0,0,0,0,0,0,0,0,0,0,0,somewhere rpt tht pakis afraid tsd ask shut congis oblige expose hounded time revive badlaofuri,146
80,2017-En-11180,Manchester derby at home ,0,0,0,1,0,0,0,0,0,0,1,0,manchester derby home,25
81,2017-En-21565,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",1,1,1,0,0,0,1,0,0,4,0,1,probably useful woman deal read article woman harass subway concern,139
82,2017-En-31526,"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",0,0,0,1,0,1,0,0,0,0,2,0,yep peep always cheer others fine drool gbbo,95
83,2017-En-11538,@JaredWyand Maybe if it was transgender the media would cover it #outrage,1,0,0,0,0,0,0,1,0,2,0,1,maybe transgender medium would cover outrage,73
84,2017-En-30572,her; i want a playful relationship\nme; *kicks her off the couch*,0,0,0,1,0,0,0,0,0,0,1,0,want playful relationship nme kick couch,65
85,2017-En-21333,Romero is fucking dreadful like seriously my 11 month old is better than him.,1,1,0,0,0,0,0,0,0,2,0,1,romero fuck dreadful like seriously month old better,77
86,2017-En-30855,Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,0,0,0,1,0,1,0,0,0,0,2,0,day make goal challenge business goal success photographer photography thursdaythoughts,124
88,2017-En-11191,"@KatherineArabis Itâs taken for granted, while the misogyny in the air is treated as normal â and any angry response to it as pathological.",1,1,0,0,0,0,0,0,0,2,0,1,take granted misogyny air treat normal angry response pathological,143
89,2017-En-40717,"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",0,0,0,1,0,1,0,0,0,0,2,0,cloud consider use camera star trail eyepiece projection,87
90,2017-En-30639,@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,0,0,0,1,1,1,0,0,0,0,3,0,helluva lot animate actual game,90
91,2017-En-40973,@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,0,0,0,0,0,0,0,1,0,1,0,1,see see many people mourn loss surprise see tweet suppose old,128
93,2017-En-30454,Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,0,0,0,1,0,1,0,0,1,0,3,0,optimism lead success bill kerr success optimism goal,77
94,2017-En-10160,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ð¡ ,1,1,0,0,0,0,0,1,0,3,0,1,joke cut internet early mistake reinstate longer need engineer,129
96,2017-En-40180,so gutted i dropped one of my earrings down the sink at school,0,0,0,0,0,0,0,1,0,1,0,1,gutted drop one earring sink school,62
97,2017-En-30531,The Quarterback' wrecks me every time.. #glee,0,0,0,1,0,1,0,0,0,0,2,0,quarterback wreck every time glee,45
98,2017-En-20212,"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",0,1,0,0,0,0,0,0,0,1,0,1,ban go harm many people disabled veteran people chronicpain iamkratom,132
99,2017-En-21787,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",0,0,0,1,0,0,0,0,0,0,1,0,happy birthday stephen king man responsible best horror past year whole bunch bad,133
101,2017-En-41483,"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",0,0,0,1,0,1,0,0,0,0,2,0,still sink see joe next month grateful excite shit,85
102,2017-En-21072,"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.",0,0,0,1,1,0,0,0,0,0,2,0,good day work get shake jim lehrer hand thanks still kick shy hug,135
103,2017-En-21699,I'm so bored and fat and full and ridiculously overweight and rolls galore ,0,1,0,0,0,0,1,1,0,3,0,1,bore fat full ridiculously overweight roll galore,75
104,2017-En-40479,The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,0,0,0,1,0,1,0,0,0,0,2,0,sunderland time line quite funny doom gloom face long trip midweek whatgoesaroundcomesaround,142
105,2017-En-10651,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",0,0,0,1,0,1,0,0,0,0,2,0,luck rest fall go anything like today think go like season bestdayever magic work,119
106,2017-En-40208,"@happyandbashful Flirt, simper, pout, repeat. Yuck.",1,1,0,0,0,0,0,0,0,2,0,1,flirt simper pout repeat yuck,51
107,2017-En-10597,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",1,1,0,0,0,0,1,0,0,3,0,1,trumpism likewise rest bed racial resentment make knowingly intentionally long trump get politics,133
108,2017-En-10141,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,1,1,0,0,0,0,0,0,0,2,0,1,bpharm guy eish guy brings anger life see nje like darkness fill know,131
109,2017-En-40834,Soooo badly want to dye my hair dark but have never been dark before soooo torn ð­ð­ð­,1,1,0,0,0,0,0,1,0,3,0,1,soooo badly want dye hair dark never dark soooo torn,92
110,2017-En-11414,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",1,0,0,0,0,0,0,0,0,1,0,1,tear eye dry burn like wire lightbulb,76
111,2017-En-10668,Nor hell a fury like a woman scorned -- William Congreve,1,0,1,0,0,0,0,0,0,2,0,1,hell fury like woman scorn william congreve,56
112,2017-En-41355,"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",0,0,0,0,0,0,0,0,0,0,0,0,agree current ultra leave democratic party lose lot member include switch repub,139
113,2017-En-40348,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,0,1,0,0,0,0,0,1,0,2,0,1,tried get earlier flt day turnd away bcuz late agent let pa silvereliteleftbehind,129
115,2017-En-41252,"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",0,0,0,0,0,0,0,1,0,1,0,1,wish could someday come spain play believe go see sad,112
118,2017-En-30095,@Myahrissavietta I'm cheery now ðð,0,0,0,1,1,1,0,0,0,0,3,0,cheery,40
119,2017-En-30904,Bridget Jones' Baby was bloody hilarious ð #BridgetJonesBaby,0,0,0,1,0,1,0,0,0,0,2,0,bridget jones baby bloody hilarious bridgetjonesbaby,63
123,2017-En-30533,Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,0,0,0,1,0,1,0,0,0,0,2,0,watch amaze live broadcast bos musicallyjh,64
125,2017-En-10241,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,1,1,0,0,0,0,0,0,0,2,0,1,prudence suggest bump week view skepticism medium hrc axis angry,138
127,2017-En-30090,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,0,0,0,1,0,0,0,0,0,0,1,0,thank disney theme episode let discover amaze hilarious,104
129,2017-En-30555,Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,0,0,0,1,1,1,0,0,0,0,3,0,watch amaze live broadcast musically,71
130,2017-En-30097,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is ð #HereWeGo,0,0,0,1,1,0,0,0,0,0,2,0,rewatching raise hope hubs time totally forgot hilarious herewego,101
132,2017-En-20652,@PatBlanchfield so you mean âlike Uber but for despair for someone other than the driver',0,1,0,0,0,0,0,0,0,1,0,1,mean like uber despair someone driver,91
133,2017-En-30493,@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,0,0,0,1,0,1,0,0,1,0,3,0,love honesty best policy smile,80
134,2017-En-10426,"@healeyraine I'm offended, I actually am",1,0,0,0,0,0,0,1,0,2,0,1,offend actually,40
136,2017-En-40299,Gaaaaaaaad! Should have stayed in London!,1,1,0,0,0,0,0,1,0,3,0,1,gaaaaaaaad stay london,41
137,2017-En-31237,May the optimism of tomorrow be your foundation for today.,0,0,0,0,0,1,0,0,0,0,1,0,may optimism tomorrow foundation today,58
139,2017-En-21772,"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",1,1,0,0,0,0,0,0,0,2,0,1,nand also try find youtube fucking nightmare,106
140,2017-En-30068,"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",0,0,0,1,1,1,0,0,1,0,4,0,glad see fun sun water sport always fun challenge exhilarate happiness beauty,139
141,2017-En-11436,@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,1,1,0,0,0,0,0,0,0,2,0,1,spent fucking hour still get dam siva fragment fellwinters peak mountain,107
142,2017-En-22096,@andreasarahco do you actually heely on campus bc this should scare you,0,0,1,0,0,0,0,0,0,1,0,1,actually heely campus scare,71
143,2017-En-21099,#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,0,0,0,1,0,1,0,0,0,0,2,0,getsmartwitharq smart way start invest whiteicenetwork smart source start skilled manpower recruitment firm,140
145,2017-En-20961,@STLouis_RamsFan their whole team is limited when they're on the field. ,0,0,0,1,0,1,0,0,0,0,2,0,whole team limit field,72
146,2017-En-41038,"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",0,0,0,1,0,0,0,0,0,0,1,0,happy birthday lose lose dharmainitiative year september oceanic,85
148,2017-En-31143,"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot",0,0,0,1,1,1,0,0,0,0,3,0,night sparkle let wonderstruck blush way home valeriebot,104
149,2017-En-30188,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,0,0,0,1,1,1,0,0,0,0,3,0,current run superman continue delight feel love pour everone creative team superman,133
150,2017-En-11477,People who go the speed limit irritate me,1,1,0,0,0,0,0,0,0,2,0,1,people speed limit irritate,41
153,2017-En-20269,@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,1,1,1,0,0,0,0,0,0,3,0,1,ohh come sense terror support stone pelt vandalize ppl gather protest announce,136
154,2017-En-41192,@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,1,1,0,0,0,0,0,1,0,3,0,1,huh always fault huff sulk,65
155,2017-En-10265,@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,1,1,0,0,0,0,0,1,0,3,0,1,know trust word soft ignore anger focus hurt beneath know screw,140
157,2017-En-31371,"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",0,0,0,1,0,1,0,0,1,0,3,0,elizabeth smith say cheery smile pleasure meet sir travel,124
158,2017-En-20844,My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,0,1,0,0,0,0,0,1,0,2,0,1,fav movie horror make like use see great one year,105
159,2017-En-11565,"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",1,1,0,0,0,0,0,1,0,3,0,1,james fuck bitter shouldofvotedfornicole,93
160,2017-En-21703,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,1,1,0,0,0,0,0,0,0,2,0,1,like bridge divide right left twitter say new tweet truncate thing fucking awful,122
161,2017-En-21908,@AzyraiZelo I am shy xD,0,0,1,0,0,0,1,1,0,3,0,1,shy,23
162,2017-En-11008,After what just happened. In need to smoke. ,1,0,0,0,0,0,0,0,0,1,0,1,happen need smoke,44
164,2017-En-11581,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,1,0,0,0,0,0,0,0,0,1,0,1,joes start sing star joe get angry sing right start angrily sing back,124
166,2017-En-30587,"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",0,0,0,1,0,0,0,0,0,0,1,0,remember heyday lady range age say mid early,103
167,2017-En-21182,@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,1,1,1,0,0,0,0,0,0,3,0,1,house get instestines scare poop shit pant,95
168,2017-En-41158,I came to work for no reason ð©ð«\nI could've stayed in bed,1,0,0,0,0,0,1,1,0,3,0,1,come work reason could stay bed,63
170,2017-En-21683,@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,1,1,0,0,0,0,1,0,0,3,0,1,ndo redneck intellectually intimidate force dance clown,123
171,2017-En-20110,hi my names anxiety and i have shaun,0,0,1,0,0,0,0,0,0,1,0,1,name anxiety shaun,36
172,2017-En-30921,"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",0,1,0,0,0,0,0,1,0,2,0,1,sometimes like talk sadness time want distracted friend laughter shop eat mhchat,140
173,2017-En-21773,Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,1,1,0,0,0,0,1,0,0,3,0,1,noooooo without maryberry awful endofanera go lose bought lameduck notallaboutthemoney,140
174,2017-En-21125,"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",0,0,0,1,0,1,0,0,1,0,3,0,get book meeting starbucks nola josh say terrific,128
175,2017-En-30345,"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away ðð­",0,0,0,1,0,0,0,0,0,0,1,0,bright side music theory teacher pocket dab say know hip walk away,118
176,2017-En-40429,"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",1,1,0,0,0,0,0,0,0,2,0,1,well one two way either get accept go change mope,140
177,2017-En-22008,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",0,0,1,0,0,0,0,1,0,2,0,1,peoplelikemebecause see happy exterior hopelessness sometimes feel inside depression anxiety anxietyprobz,130
178,2017-En-30027,Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),0,0,0,1,0,1,0,0,0,0,2,0,morning course sunny monday morning cheerfully welcome back work,98
179,2017-En-21478,#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,0,0,0,1,0,0,0,0,0,0,1,0,thisisus mess mind anticipate next episode apprehension delight isthereahelplineforthis,137
181,2017-En-20498,God we need a new goal keeper! Theyâre both horrific.,1,1,0,0,0,0,1,0,0,3,0,1,god need new goal keeper horrific,55
182,2017-En-21464,@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,0,0,1,0,0,0,0,1,0,2,0,1,old age hope rest destine become deatheaters nightmare,99
183,2017-En-21723,"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",0,0,0,0,0,0,1,1,0,2,0,1,want green potato bottle tag still plus soak wet item deliver win today sadly,134
185,2017-En-40139,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,0,0,0,0,0,0,1,1,0,2,0,1,wow almost mobile store san diego note replacement sadness need get mine replace,114
189,2017-En-21644,#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,1,0,0,0,0,0,0,0,0,1,0,1,ahs every minute say nope nope go move gtfo thank,109
190,2017-En-30722,"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",0,0,0,1,0,1,0,0,0,0,2,0,wish really truly wish modicum banter,95
192,2017-En-21183,Nothing worse than an uber driver that can't drive. #awful,1,1,0,0,0,0,0,0,0,2,0,1,nothing bad uber driver drive awful,58
193,2017-En-10107,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",1,1,0,0,0,0,0,0,0,2,0,1,leave rule nimber carpet clean furious worsethananatomicbomb accidentlyspillbeeronthecarpet,118
194,2017-En-10290,Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,0,0,0,1,0,0,0,0,0,0,1,0,say say america really fortunate black people want equality revenge,117
195,2017-En-41366,@RIPPoohSavage u know ion play that shit bout my weary brother,1,1,0,0,0,0,0,0,0,2,0,1,know ion play shit bout weary brother,62
196,2017-En-11127,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,1,1,0,0,0,0,0,0,0,2,0,1,cmode grimrail make want eat angry bee,73
197,2017-En-30963,Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,0,0,0,1,1,0,0,0,0,0,2,0,happy birthday cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,92
198,2017-En-30829,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",1,1,1,0,0,0,0,0,0,3,0,1,assure laughter increase anger cost arrogance westminster,112
